player_name,dist_al_arco,angulo_tiro,is_BigChance,is_Penalty,is_OneOnOne,threat,is_goal
Jarrod Bowen,21.954498400100153,0.4024994463515049,0,0,0,685.0,False
Guido Rodríguez,21.010711553871758,0.17219081452293908,0,0,0,2.0,False
Eliezer Mayenda,12.31665539016173,0.8313428192055683,0,0,0,0.0,False
Dan Ballard,13.281566172707196,1.2490457723982542,0,0,0,0.0,False
Simon Adingra,14.787156589419075,0.5636171943748489,1,0,0,75.0,False
Dan Ballard,9.99249718538865,1.3282448433677054,0,0,0,0.0,False
Habib Diarra,21.611339616044162,0.03239606936537208,0,0,0,166.0,False
Eliezer Mayenda,11.337107214805723,0.5268046078390565,0,0,0,0.0,True
Dan Ballard,10.204410811016968,0.424194407903767,0,0,0,0.0,True
El Hadji Malick Diouf,25.057733337235433,0.06789547916306118,0,0,0,83.0,False
Jarrod Bowen,11.080162453682712,0.6380859992688591,0,0,0,685.0,False
Tomás Soucek,17.5445148123281,0.5453070468848723,0,0,0,0.0,False
Callum Wilson,12.986531484580473,0.5153256934832361,0,0,0,396.0,False
Niclas Füllkrug,12.224974437601091,0.23109066719589674,0,0,0,130.0,False
Wilson Isidor,26.240617370786076,0.9669388151200801,0,0,0,384.0,True
Jarrod Bowen,20.11218536111876,0.034811801465872844,0,0,0,685.0,False
Lucas Bergvall,9.09560333347931,1.3151514015169614,0,0,0,133.0,False
Brennan Johnson,18.97630100941699,0.08970568901706019,0,0,0,189.0,False
Richarlison,12.180722474467602,0.21510707313656963,0,0,0,0.0,True
Richarlison,7.720103626247519,0.28897540999256655,0,0,0,0.0,False
Jaidon Anthony,10.907336980216579,0.03668078775665169,0,0,0,458.0,False
Oliver Sonne,23.619060099843097,0.7734226880017679,0,0,0,30.0,False
Josh Laurent,27.613402542968153,0.37445399640907295,0,0,0,94.0,False
Kyle Walker,31.97764844387404,0.38805559490528496,0,0,0,22.0,False
Jaidon Anthony,25.725668115716648,0.6225088585504022,0,0,0,458.0,False
Lyle Foster,24.12343259156955,0.3689595462058566,0,0,0,216.0,False
Maxime Estève,8.0156097709407,0.06241880999595735,0,0,0,88.0,False
Josh Laurent,24.240462041801106,0.9850820487725497,0,0,0,94.0,False
Hannibal Mejbri,35.52182427747764,0.9171604298753749,0,0,0,88.0,False
Djed Spence,23.58686074915439,0.4238204829554706,0,0,0,153.0,False
Josh Laurent,23.323807579381196,0.3868757177310281,0,0,0,94.0,False
Micky van de Ven,3.001666203960722,0.5232783221319764,0,0,0,204.0,False
Richarlison,14.480676779764126,0.6531693158265862,0,0,0,0.0,False
Richarlison,8.458132181516204,1.1441688336680207,1,0,0,0.0,False
Mohammed Kudus,27.513814711886102,1.2984876095941393,0,0,0,302.0,False
Lyle Foster,10.195096860746347,0.3713991607852487,0,0,0,216.0,False
Jaidon Anthony,7.970570870395669,0.41312883227840186,0,0,0,458.0,False
Richarlison,12.184005909387935,0.3606918974936811,0,0,0,0.0,True
Pedro Porro,29.32115277406398,0.652368543487797,0,0,0,0.0,False
Brennan Johnson,14.610270360263701,0.8629124450282402,1,0,0,189.0,True
Lesley Ugochukwu,17.822738285684384,0.05051877672240465,0,0,0,188.0,False
Micky van de Ven,5.091168824543139,0.7853981633974493,0,0,0,204.0,False
Jaidon Anthony,15.478048972658014,0.2214720219241737,0,0,0,458.0,False
Dominic Solanke,14.081193131265541,0.20018106796588853,0,0,0,0.0,False
Djed Spence,17.34416328336424,1.3439974787410105,0,0,0,153.0,False
Mohammed Kudus,26.158937287282907,0.2987799883522471,0,0,0,302.0,False
Erling Haaland,7.731752712031085,0.09065988720074544,1,0,0,1217.0,False
Erling Haaland,6.15548535860496,0.7509290623979407,1,0,0,1217.0,False
