matchId,homeTeam,awayTeam,side,teamName,eventId,playerId,playerName,minute,second,x,y,period,type,outcomeType,qualifiers,length,angle,endX,endY
1903429,Man City,Nottingham Forest,home,Man City,69,394933.0,Matheus Nunes,4,53.0,43.7,0.0,FirstHalf,Pass,Successful,"PassEndX, ThrowIn, Angle, PassEndY, Length, Zone, Longball",46.3,1.48,47.5,67.2
1903429,Man City,Nottingham Forest,home,Man City,70,374631.0,Marc Guéhi,4,56.0,51.6,68.7,FirstHalf,Pass,Successful,"Angle, PassEndX, Zone, Length, PassEndY",13.5,1.08,57.6,86.2
1903429,Man City,Nottingham Forest,home,Man City,71,386153.0,Rayan Cherki,5,0.0,47.0,82.9,FirstHalf,Pass,Successful,"Zone, Length, PassEndX, PassEndY, Angle",13.1,3.82,37.3,70.9
1903429,Man City,Nottingham Forest,home,Man City,72,374631.0,Marc Guéhi,5,2.0,37.3,70.9,FirstHalf,Pass,Successful,"PassEndX, Length, Zone, Angle, PassEndY",22.8,0.63,54.8,90.7
1903429,Man City,Nottingham Forest,home,Man City,73,355401.0,Rayan Aït-Nouri,5,4.0,54.8,90.7,FirstHalf,Pass,Successful,"Angle, PassEndY, Zone, PassEndX, Length",11.9,4.49,52.3,73.6
1903429,Man City,Nottingham Forest,home,Man City,74,386153.0,Rayan Cherki,5,4.0,52.3,73.6,FirstHalf,Pass,Successful,"Length, Angle, PassEndX, Zone, PassEndY",14.2,2.77,39.7,81.1
1903429,Man City,Nottingham Forest,home,Man City,75,374631.0,Marc Guéhi,5,5.0,39.7,81.1,FirstHalf,Pass,Successful,"Length, Zone, Angle, PassEndY, PassEndX",18.7,0.50,55.4,94.2
1903429,Man City,Nottingham Forest,home,Man City,76,355401.0,Rayan Aït-Nouri,5,10.0,69.3,90.1,FirstHalf,Pass,Successful,"PassEndX, PassEndY, Angle, Zone, Length",12.0,3.28,58.0,87.6
1903429,Man City,Nottingham Forest,home,Man City,77,386153.0,Rayan Cherki,5,14.0,53.5,69.9,FirstHalf,Pass,Successful,"Zone, Angle, Length, PassEndY, PassEndX",16.0,3.29,38.4,66.4
1903429,Man City,Nottingham Forest,home,Man City,78,374631.0,Marc Guéhi,5,16.0,38.4,66.4,FirstHalf,Pass,Successful,"Angle, Zone, PassEndY, Length, PassEndX",19.0,5.18,46.5,41.4
1903429,Man City,Nottingham Forest,home,Man City,79,313171.0,Rúben Dias,5,20.0,58.1,32.1,FirstHalf,Pass,Successful,"PassEndX, Length, PassEndY, Angle, Zone",11.8,0.66,67.0,42.7
1903429,Man City,Nottingham Forest,home,Man City,80,331254.0,Phil Foden,5,22.0,67.0,42.7,FirstHalf,Pass,Successful,"Angle, PassEndY, Zone, PassEndX, Length",10.3,1.74,65.4,57.6
1903429,Man City,Nottingham Forest,home,Man City,81,303139.0,Rodri,5,24.0,65.4,57.6,FirstHalf,Pass,Successful,"PassEndX, Length, PassEndY, Zone, Angle",22.0,1.46,67.8,89.8
1903429,Man City,Nottingham Forest,home,Man City,82,355401.0,Rayan Aït-Nouri,5,28.0,67.8,89.8,FirstHalf,Pass,Successful,"PassEndX, Length, Zone, PassEndY, Angle",12.5,4.73,68.0,71.4
1903429,Man City,Nottingham Forest,home,Man City,83,386153.0,Rayan Cherki,5,29.0,68.0,71.4,FirstHalf,Pass,Successful,"Angle, Zone, Length, PassEndY, PassEndX",14.0,3.81,57.6,58.6
1903429,Man City,Nottingham Forest,home,Man City,84,374631.0,Marc Guéhi,5,31.0,57.6,58.6,FirstHalf,Pass,Successful,"Length, PassEndX, Zone, PassEndY, Angle",27.1,5.34,72.7,26.2
1903429,Man City,Nottingham Forest,home,Man City,85,136741.0,Bernardo Silva,5,35.0,76.7,24.1,FirstHalf,Pass,Successful,"Length, PassEndX, Zone, Angle, PassEndY",19.7,6.00,94.7,16.0
1903429,Man City,Nottingham Forest,home,Man City,86,394933.0,Matheus Nunes,5,38.0,92.0,15.6,FirstHalf,TakeOn,Unsuccessful,"Offensive, Zone, OppositeRelatedEvent",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,34,315543.0,Ola Aina,5,38.0,8.0,84.4,FirstHalf,Tackle,Successful,"Defensive, StandingSave, Zone, OppositeRelatedEvent",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,35,315543.0,Ola Aina,5,39.0,12.5,86.8,FirstHalf,BallRecovery,Successful,,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,37,315543.0,Ola Aina,5,41.0,20.5,90.5,FirstHalf,TakeOn,Unsuccessful,"OppositeRelatedEvent, Defensive, Zone",,,,
1903429,Man City,Nottingham Forest,home,Man City,87,394933.0,Matheus Nunes,5,41.0,79.5,9.5,FirstHalf,Tackle,Successful,"Offensive, OppositeRelatedEvent, Zone, StandingSave",,,,
1903429,Man City,Nottingham Forest,home,Man City,88,394933.0,Matheus Nunes,5,43.0,78.7,4.9,FirstHalf,BallRecovery,Successful,,,,,
1903429,Man City,Nottingham Forest,home,Man City,89,394933.0,Matheus Nunes,5,43.0,78.7,4.9,FirstHalf,Pass,Successful,"PassEndX, PassEndY, Angle, Zone, Length",16.1,0.77,89.7,21.4
1903429,Man City,Nottingham Forest,away,Nottingham Forest,38,315543.0,Ola Aina,5,46.0,10.2,73.6,FirstHalf,Challenge,Unsuccessful,"Zone, OppositeRelatedEvent, Defensive",,,,
1903429,Man City,Nottingham Forest,home,Man City,90,136741.0,Bernardo Silva,5,46.0,89.8,26.4,FirstHalf,TakeOn,Successful,"Zone, OppositeRelatedEvent, Offensive",,,,
1903429,Man City,Nottingham Forest,home,Man City,91,136741.0,Bernardo Silva,5,48.0,91.1,24.4,FirstHalf,Pass,Unsuccessful,"PassEndY, Angle, Chipped, Cross, PassEndX, LeftFoot, Zone, Length",21.4,1.33,96.0,54.9
1903429,Man City,Nottingham Forest,away,Nottingham Forest,39,443545.0,Jair Cunha,5,49.0,5.0,49.3,FirstHalf,Clearance,Successful,"Zone, PassEndX, Angle, Length, Head, PassEndY",21.4,5.44,18.6,25.9
1903429,Man City,Nottingham Forest,home,Man City,92,303139.0,Rodri,5,55.0,76.0,92.8,FirstHalf,Pass,Successful,"Zone, Length, PassEndX, Angle, PassEndY",13.5,3.67,64.9,82.9
1903429,Man City,Nottingham Forest,home,Man City,93,355401.0,Rayan Aït-Nouri,5,57.0,64.0,83.2,FirstHalf,Pass,Successful,"PassEndX, Length, Angle, PassEndY, Zone",11.4,5.64,72.7,73.2
1903429,Man City,Nottingham Forest,home,Man City,94,386153.0,Rayan Cherki,5,58.0,72.7,73.2,FirstHalf,Pass,Successful,"LayOff, PassEndY, Length, Zone, Angle, PassEndX",18.0,3.38,56.0,67.0
1903429,Man City,Nottingham Forest,home,Man City,95,374631.0,Marc Guéhi,6,1.0,59.3,68.7,FirstHalf,Pass,Successful,"PassEndX, Length, PassEndY, Angle, Zone",6.2,1.30,60.9,77.5
1903429,Man City,Nottingham Forest,home,Man City,96,355401.0,Rayan Aït-Nouri,6,2.0,60.9,77.5,FirstHalf,Pass,Successful,"Angle, Zone, PassEndY, PassEndX, Length",13.9,0.97,68.4,94.3
1903429,Man City,Nottingham Forest,home,Man City,97,303139.0,Rodri,6,6.0,64.8,90.0,FirstHalf,Pass,Successful,"Chipped, PassEndX, Angle, Length, PassEndY, Zone, Longball",35.7,4.32,51.7,41.5
1903429,Man City,Nottingham Forest,home,Man City,98,313171.0,Rúben Dias,6,10.0,53.4,35.2,FirstHalf,Pass,Successful,"PassEndY, Zone, Angle, PassEndX, Length",11.3,5.61,61.8,24.9
1903429,Man City,Nottingham Forest,home,Man City,99,136741.0,Bernardo Silva,6,14.0,63.9,22.2,FirstHalf,Pass,Successful,"Zone, Length, Angle, PassEndX, PassEndY",12.5,5.11,68.5,5.2
1903429,Man City,Nottingham Forest,home,Man City,100,394933.0,Matheus Nunes,6,18.0,70.7,10.0,FirstHalf,Pass,Successful,"PassEndX, Length, PassEndY, Zone, Angle",8.6,2.09,66.6,21.0
1903429,Man City,Nottingham Forest,home,Man City,101,331254.0,Phil Foden,6,22.0,66.4,28.3,FirstHalf,Pass,Successful,"PassEndX, Angle, PassEndY, Length, Zone",25.4,1.64,64.8,65.5
